value,pos
31.29969,1577
31.30268,1578
31.31577,1579
31.31578,1580
31.34037,1581
31.38366,1582
31.3923,1583
31.39942,1584
31.43377,1585
31.43645,1586
31.44414,1587
31.45354,1588
31.45943,1589
31.46758,1590
31.46783,1591
31.46794,1592
31.46936,1593
31.46938,1594
31.48531,1595
31.48773,1596
31.48773,1597
31.5047,1598
31.51479,1599
31.54021,1600
31.54063,1601
31.54257,1602
31.55017,1603
31.56933,1604
31.56933,1605
31.59055,1606
31.59124,1607
31.59592,1608
31.62184,1609
31.62599,1610
31.63397,1611
31.63496,1612
31.64414,1613
31.64911,1614
31.66092,1615
31.66092,1616
31.67445,1617
31.68015,1618
31.69497,1619
31.69921,1620
31.70136,1621
31.70643,1622
31.73561,1623
31.74217,1624
31.74432,1625
31.74712,1626
31.7606,1627
31.7742,1628
31.7742,1629
31.78143,1630
31.78964,1631
31.79129,1632
31.80311,1633
31.82713,1634
31.83006,1635
31.83043,1636
31.83043,1637
31.8413,1638
31.84526,1639
31.85968,1640
31.85992,1641
31.86125,1642
31.86486,1643
31.86966,1644
31.87513,1645
31.8796,1646
31.89967,1647
31.90853,1648
31.90856,1649
31.91033,1650
31.91033,1651
31.91033,1652
31.91033,1653
31.91033,1654
31.91033,1655
31.91033,1656
31.91033,1657
31.91033,1658
31.91033,1659
31.91033,1660
31.91033,1661
31.91033,1662
31.91033,1663
31.91033,1664
31.91033,1665
31.91033,1666
31.91033,1667
31.91033,1668
31.91033,1669
31.91033,1670
31.91033,1671
31.91033,1672
31.91033,1673
31.91148,1674
31.91515,1675
31.91515,1676
31.91667,1677
31.9237,1678
31.94235,1679
31.94235,1680
31.94957,1681
31.96333,1682
31.96474,1683
31.97599,1684
31.97643,1685
31.98328,1686
32.01023,1687
32.01996,1688
32.02268,1689
32.02384,1690
32.02427,1691
32.02865,1692
32.03819,1693
32.06946,1694
32.07219,1695
32.07219,1696
32.08865,1697
32.12605,1698
32.12836,1699
32.13395,1700
32.13445,1701
32.13653,1702
32.13712,1703
32.1457,1704
32.14824,1705
32.15552,1706
32.18932,1707
32.19664,1708
32.23037,1709
32.2702,1710
32.27101,1711
32.27123,1712
32.27207,1713
32.2784,1714
32.29312,1715
32.30533,1716
32.30533,1717
32.30803,1718
32.31331,1719
32.31638,1720
32.32042,1721
32.33028,1722
32.33795,1723
32.34848,1724
32.34911,1725
32.36275,1726
32.39039,1727
32.40284,1728
32.40284,1729
32.40427,1730
32.43151,1731
32.44828,1732
32.45988,1733
32.47018,1734
32.47219,1735
32.47524,1736
32.48781,1737
32.49568,1738
32.50753,1739
32.50816,1740
32.51441,1741
32.51725,1742
32.52558,1743
32.53947,1744
32.54085,1745
32.54085,1746
32.54501,1747
32.54529,1748
32.56889,1749
32.5692,1750
32.5719,1751
32.57265,1752
32.57611,1753
32.57667,1754
32.58005,1755
32.58005,1756
32.58633,1757
32.60221,1758
32.62056,1759
32.625,1760
32.63614,1761
32.64151,1762
32.64768,1763
32.64938,1764
32.66328,1765
32.68282,1766
32.68838,1767
32.69011,1768
32.69716,1769
32.71453,1770
32.7161,1771
32.7161,1772
32.7161,1773
32.7161,1774
32.71652,1775
32.72829,1776
32.72888,1777
32.73464,1778
32.74236,1779
32.75645,1780
32.76232,1781
32.76274,1782
32.78477,1783
32.78477,1784
32.78642,1785
32.78856,1786
32.79511,1787
32.80299,1788
32.80577,1789
32.80577,1790
32.81669,1791
32.81761,1792
32.82644,1793
32.82826,1794
32.83724,1795
32.83936,1796
32.83936,1797
32.83936,1798
32.83936,1799
32.86772,1800
32.8843,1801
32.88597,1802
32.88863,1803
32.89154,1804
32.89232,1805
32.90809,1806
32.91118,1807
32.91663,1808
32.92395,1809
32.92585,1810
32.9403,1811
32.96761,1812
32.97486,1813
32.98021,1814
32.98983,1815
33.01237,1816
33.01405,1817
33.02202,1818
33.0221,1819
33.02401,1820
33.02683,1821
33.0281,1822
33.04277,1823
33.04643,1824
33.04936,1825
33.05272,1826
33.05341,1827
33.05341,1828
33.05776,1829
33.05776,1830
33.05886,1831
33.06471,1832
33.09109,1833
33.09434,1834
33.10086,1835
33.10162,1836
33.10521,1837
33.10562,1838
33.10684,1839
33.11034,1840
33.13475,1841
33.14528,1842
33.16655,1843
33.17334,1844
33.17381,1845
33.17383,1846
33.1904,1847
33.20044,1848
33.24847,1849
33.27941,1850
33.29208,1851
33.3027,1852
33.30555,1853
33.3096,1854
33.3108,1855
33.32324,1856
33.32626,1857
33.32754,1858
33.33333,1859
33.33333,1860
33.33333,1861
33.35671,1862
33.36686,1863
33.3706,1864
33.38519,1865
33.38639,1866
33.42697,1867
33.4429,1868
33.44308,1869
33.44901,1870
33.4717,1871
33.47311,1872
33.48634,1873
33.48928,1874
33.49167,1875
